Symbol,Name
BSDDKK=X,BSD/DKK
BNDEUR=X,BND/EUR
BWPEGP=X,BWP/EGP
BWPNZD=X,BWP/NZD
BRLXDR=X,BRL/XDR
BWPWST=X,BWP/WST
BOBCLP=X,BOB/CLP
BMDEUR=X,BMD/EUR
BRLNZD=X,BRL/NZD
BRLAUD=X,BRL/AUD
BWPARS=X,BWP/ARS
BRLBOB=X,BRL/BOB
BGNDKK=X,BGN/DKK
BGNLVL=X,BGN/LVL
BRLNOK=X,BRL/NOK
BMDCHF=X,BMD/CHF
BRLCLP=X,BRL/CLP
BWPVND=X,BWP/VND
BWPQAR=X,BWP/QAR
CADUSD=X,CAD/USD
CHFUSD=X,CHF/USD
CNYUSD=X,CNY/USD
CHFEUR=X,CHF/EUR
NZDGBP=X,NZD/GBP
CVECHF=X,CVE/CHF
CHFJPY=X,CHF/JPY
CADJPY=X,CAD/JPY
ZARSGD=X,ZAR/SGD
ZARSEK=X,ZAR/SEK
ZARMYR=X,ZAR/MYR
ZARJPY=X,ZAR/JPY
ZARCAD=X,ZAR/CAD
ZARAUD=X,ZAR/AUD
NZDCAD=X,NZD/CAD
NOKZAR=X,NOK/ZAR
NOKJPY=X,NOK/JPY
NOKGBP=X,NOK/GBP
JPYTRY=X,JPY/TRY
EURDOP=X,EUR/DOP
CZKZAR=X,CZK/ZAR
CZKRSD=X,CZK/RSD
CZKPHP=X,CZK/PHP
CZKLKR=X,CZK/LKR
CZKHKD=X,CZK/HKD
CZKBRL=X,CZK/BRL
CZKBGN=X,CZK/BGN
CZKBDT=X,CZK/BDT
CVE=X,USD/CVE
CUPGBP=X,CUP/GBP
CUP=X,USD/CUP
COPTHB=X,COP/THB
CNYTRY=X,CNY/TRY
CNYPHP=X,CNY/PHP
CNYLTL=X,CNY/LTL
CNYJPY=X,CNY/JPY
CNYILS=X,CNY/ILS
CNYGHS=X,CNY/GHS
CNYBWP=X,CNY/BWP
CNYAED=X,CNY/AED
CNHUSD=X,CNH/USD
CLF=X,USD/CLF
CHFZAR=X,CHF/ZAR
CHFVND=X,CHF/VND
CHFUAH=X,CHF/UAH
CHFTRY=X,CHF/TRY
CHFSOS=X,CHF/SOS
CHFMUR=X,CHF/MUR
CHFMKD=X,CHF/MKD
CHFMDL=X,CHF/MDL
CHFKPW=X,CHF/KPW
CHFIRR=X,CHF/IRR
CHFHRK=X,CHF/HRK
CHFBYR=X,CHF/BYR
CHFBND=X,CHF/BND
CHFBAM=X,CHF/BAM
CHFAWG=X,CHF/AWG
CADZAR=X,CAD/ZAR
CADWST=X,CAD/WST
CADTZS=X,CAD/TZS
CADTWD=X,CAD/TWD
CADTND=X,CAD/TND
CADSGD=X,CAD/SGD
CADSBD=X,CAD/SBD
CADSAR=X,CAD/SAR
CADRUB=X,CAD/RUB
CADRSD=X,CAD/RSD
CADPLN=X,CAD/PLN
CADNZD=X,CAD/NZD
CADMVR=X,CAD/MVR
CADMDL=X,CAD/MDL
CADLRD=X,CAD/LRD
CADKZT=X,CAD/KZT
CADKES=X,CAD/KES
CADGYD=X,CAD/GYD
CADGIP=X,CAD/GIP
CADGBP=X,CAD/GBP
CADEUR=X,CAD/EUR
CADCHF=X,CAD/CHF
CADAMD=X,CAD/AMD
CADAFN=X,CAD/AFN
CLFJPY=X,CLF/JPY
CNYAUD=X,CNY/AUD
CHFNAD=X,CHF/NAD
CADKYD=X,CAD/KYD
